0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
-8.985,-5.3319,-0.11219,5.1162,8.8311,9.9854,8.2898,4.2673,-0.92308,-5.8317,-9.1261,-9.9474,-8.1206,-4.1731,0.83237,5.5945,8.915,9.9945,8.6126,5.1548,0.49056,-4.2565,-7.984,-9.8641,-9.5167,-7.0711,-3.1094,1.4841,5.7283,8.7564,9.9867,9.2233,6.6703,2.8672,-1.436,-5.4336,-8.4155,-9.8883,-9.6467,-7.7879,-4.6726,-0.84493,3.0695,6.4688,8.8655,9.9502,9.6215,7.982,5.3053,1.9831,-1.538,-4.8191,-7.4834,-9.2557,-9.9837,-9.6426,-8.3234,-6.2101,-3.5493,-0.61752,2.3093,4.9824,7.1996,8.8173,9.7546,9.9917,9.5625,8.5441,7.0446,5.1901,3.1131,0.94204,-1.2063,-3.2326,-5.0584,-6.627,-7.9031,-8.8708,-9.5312,-9.8989,-9.9988,-9.863,-9.5276,-9.0305,-8.4091,-7.6988,-6.9323,-6.1381,-5.3412,-4.5622,-3.8178,-3.1214,-2.483,-1.9101,-1.4078,-0.97956,-0.62765,-0.35328,-0.15706,-0.039269,-4.91E-15,-0.039269,-0.15706,-0.35328,-0.62765,-0.97956,-1.4078,-1.9101,-2.483,-3.1214,-3.8178,-4.5622,-5.3412,-6.1381,-6.9323,-7.6988,-8.4091,-9.0305,-9.5276,-9.863,-9.9988,-9.8989,-9.5312,-8.8708,-7.9031,-6.627,-5.0584,-3.2326,-1.2063,0.94204,3.1131,5.1901,7.0446,8.5441,9.5625,9.9917,9.7546,8.8173,7.1996,4.9824,2.3093,-0.61752,-3.5493,-6.2101,-8.3234,-9.6426,-9.9837,-9.2557,-7.4834,-4.8191,-1.538,1.9831,5.3053,7.982,9.6215,9.9502,8.8655,6.4688,3.0695,-0.84493,-4.6726,-7.7879,-9.6467,-9.8883,-8.4155,-5.4336,-1.436,2.8672,6.6703,9.2233,9.9867,8.7564,5.7283,1.4841,-3.1094,-7.0711,-9.5167,-9.8641,-7.984,-4.2565,0.49056,5.1548,8.6126,9.9945,8.915,5.5945,0.83237,-4.1731,-8.1206,-9.9474,-9.1261,-5.8317,-0.92308,4.2673,8.2898,9.9854,8.8311,5.1162,-0.11219,-5.3319,-8.985
-5.3319,-0.056098,5.2127,8.9096,9.9705,8.1264,3.9527,-1.3252,-6.2029,-9.3283,-9.8702,-7.7251,-3.5167,1.6008,6.2688,9.287,9.9157,8.0427,4.1838,-0.67467,-5.3374,-8.6979,-9.9961,-8.9778,-5.9276,-1.5756,3.089,7.0485,9.4779,9.9086,8.3046,5.0438,0.81686,-3.529,-7.1638,-9.4314,-9.9596,-8.7082,-5.9527,-2.2131,1.8531,5.5716,8.3631,9.8278,9.7937,8.3231,5.6835,2.2906,-1.3642,-4.7881,-7.5535,-9.347,-9.9984,-9.4864,-7.9256,-5.5388,-2.6193,0.50899,3.5297,6.1657,8.2019,9.4986,9.9944,9.7017,8.6952,7.0975,5.0612,2.7534,0.3397,-2.0274,-4.2177,-6.1286,-7.6879,-8.8531,-9.609,-9.9642,-9.946,-9.5955,-8.9629,-8.1029,-7.0711,-5.9206,-4.7005,-3.4537,-2.2166,-1.0186,0.11782,1.1763,2.146,3.0211,3.7995,4.4821,5.0721,5.5742,5.9938,6.3368,6.6086,6.8142,6.958,7.043,7.0711,7.043,6.958,6.8142,6.6086,6.3368,5.9938,5.5742,5.0721,4.4821,3.7995,3.0211,2.146,1.1763,0.11782,-1.0186,-2.2166,-3.4537,-4.7005,-5.9206,-7.0711,-8.1029,-8.9629,-9.5955,-9.946,-9.9642,-9.609,-8.8531,-7.6879,-6.1286,-4.2177,-2.0274,0.3397,2.7534,5.0612,7.0975,8.6952,9.7017,9.9944,9.4986,8.2019,6.1657,3.5297,0.50899,-2.6193,-5.5388,-7.9256,-9.4864,-9.9984,-9.347,-7.5535,-4.7881,-1.3642,2.2906,5.6835,8.3231,9.7937,9.8278,8.3631,5.5716,1.8531,-2.2131,-5.9527,-8.7082,-9.9596,-9.4314,-7.1638,-3.529,0.81686,5.0438,8.3046,9.9086,9.4779,7.0485,3.089,-1.5756,-5.9276,-8.9778,-9.9961,-8.6979,-5.3374,-0.67467,4.1838,8.0427,9.9157,9.287,6.2688,1.6008,-3.5167,-7.7251,-9.8702,-9.3283,-6.2029,-1.3252,3.9527,8.1264,9.9705,8.9096,5.2127,-0.056098,-5.3319
-0.11219,5.2127,8.9351,9.9611,8.0251,3.7403,-1.6112,-6.4726,-9.4678,-9.7839,-7.3771,-2.9556,2.2442,6.8122,9.5485,9.7704,7.4679,3.2769,-1.7111,-6.2423,-9.2179,-9.9533,-8.3223,-4.7586,-0.12667,4.499,8.0872,9.8761,9.5248,7.1623,3.3323,-1.1436,-5.3504,-8.4687,-9.9284,-9.5027,-7.3272,-3.8502,0.27083,4.3006,7.5597,9.5353,9.9535,8.8046,6.3233,2.9316,-0.84091,-4.4442,-7.3888,-9.3086,-9.999,-9.4282,-7.724,-5.1419,-2.0198,1.2702,4.3684,6.9665,8.8346,9.836,9.9297,9.1622,7.6521,5.5693,3.1131,0.49053,-2.1015,-4.4911,-6.541,-8.1535,-9.2714,-9.8759,-9.981,-9.6275,-8.8753,-7.797,-6.4705,-4.9737,-3.3803,-1.756,-0.15706,1.3713,2.7948,4.0896,5.2415,6.2444,7.0991,7.8117,8.3926,8.8545,9.2119,9.48,9.674,9.8083,9.8963,9.9499,9.9795,9.9935,9.9987,9.9999,10,9.9999,9.9987,9.9935,9.9795,9.9499,9.8963,9.8083,9.674,9.48,9.2119,8.8545,8.3926,7.8117,7.0991,6.2444,5.2415,4.0896,2.7948,1.3713,-0.15706,-1.756,-3.3803,-4.9737,-6.4705,-7.797,-8.8753,-9.6275,-9.981,-9.8759,-9.2714,-8.1535,-6.541,-4.4911,-2.1015,0.49053,3.1131,5.5693,7.6521,9.1622,9.9297,9.836,8.8346,6.9665,4.3684,1.2702,-2.0198,-5.1419,-7.724,-9.4282,-9.999,-9.3086,-7.3888,-4.4442,-0.84091,2.9316,6.3233,8.8046,9.9535,9.5353,7.5597,4.3006,0.27083,-3.8502,-7.3272,-9.5027,-9.9284,-8.4687,-5.3504,-1.1436,3.3323,7.1623,9.5248,9.8761,8.0872,4.499,-0.12667,-4.7586,-8.3223,-9.9533,-9.2179,-6.2423,-1.7111,3.2769,7.4679,9.7704,9.5485,6.8122,2.2442,-2.9556,-7.3771,-9.7839,-9.4678,-6.4726,-1.6112,3.7403,8.0251,9.9611,8.9351,5.2127,-0.11219
5.1162,8.9096,9.9611,7.9908,3.6333,-1.7822,-6.6481,-9.5578,-9.705,-7.0919,-2.4989,2.7638,7.2386,9.7243,9.5899,6.9188,2.4566,-2.6113,-6.9831,-9.5752,-9.7823,-7.6039,-3.6146,1.2013,5.7022,8.8625,9.9999,8.9107,5.8873,1.6276,-2.9387,-6.858,-9.3518,-9.9626,-8.6247,-5.6515,-1.6497,2.6137,6.3641,8.9587,9.99,9.3381,7.1687,3.8832,0.035062,-3.7698,-6.9703,-9.1299,-9.9892,-9.4864,-7.7468,-5.0486,-1.7704,1.6664,4.855,7.4496,9.1995,9.9668,9.7281,8.5634,6.6354,4.1626,1.3914,-1.4312,-4.0795,-6.3664,-8.1535,-9.3551,-9.9378,-9.9143,-9.3356,-8.2809,-6.8477,-5.1419,-3.2696,-1.3301,0.58893,2.4144,4.0896,5.5742,6.8432,7.8856,8.702,9.3023,9.7037,9.9279,9.9999,9.9457,9.7914,9.5619,9.2806,8.9686,8.6445,8.3245,8.0222,7.7489,7.5138,7.3239,7.1846,7.0996,7.0711,7.0996,7.1846,7.3239,7.5138,7.7489,8.0222,8.3245,8.6445,8.9686,9.2806,9.5619,9.7914,9.9457,9.9999,9.9279,9.7037,9.3023,8.702,7.8856,6.8432,5.5742,4.0896,2.4144,0.58893,-1.3301,-3.2696,-5.1419,-6.8477,-8.2809,-9.3356,-9.9143,-9.9378,-9.3551,-8.1535,-6.3664,-4.0795,-1.4312,1.3914,4.1626,6.6354,8.5634,9.7281,9.9668,9.1995,7.4496,4.855,1.6664,-1.7704,-5.0486,-7.7468,-9.4864,-9.9892,-9.1299,-6.9703,-3.7698,0.035062,3.8832,7.1687,9.3381,9.99,8.9587,6.3641,2.6137,-1.6497,-5.6515,-8.6247,-9.9626,-9.3518,-6.858,-2.9387,1.6276,5.8873,8.9107,9.9999,8.8625,5.7022,1.2013,-3.6146,-7.6039,-9.7823,-9.5752,-6.9831,-2.6113,2.4566,6.9188,9.5899,9.7243,7.2386,2.7638,-2.4989,-7.0919,-9.705,-9.5578,-6.6481,-1.7822,3.6333,7.9908,9.9611,8.9096,5.1162
8.8311,9.9705,8.0251,3.6333,-1.8391,-6.7345,-9.6079,-9.6456,-6.8807,-2.1525,3.1627,7.5612,9.8365,9.4006,6.4198,1.7383,-3.3744,-7.5761,-9.8021,-9.5263,-6.8683,-2.5339,2.3866,6.7009,9.4039,9.9042,8.1386,4.5585,-1.08E-13,-4.5211,-8.0401,-9.8451,-9.6106,-7.4403,-3.819,0.50772,4.6957,7.9687,9.7586,9.7937,8.1259,5.0969,1.258,-2.7389,-6.2552,-8.7666,-9.9349,-9.6426,-7.991,-5.2653,-1.8775,1.7024,5.0141,7.666,9.3768,9.9983,9.5179,8.0452,5.7853,3.0056,3.92E-14,-2.9442,-5.5735,-7.6879,-9.1523,-9.8989,-9.9241,-9.279,-8.0572,-6.381,-4.3876,-2.2166,-4.91E-15,2.146,4.1256,5.8663,7.319,8.4569,9.2728,9.7759,9.9884,9.9414,9.6719,9.2194,8.6242,7.9246,7.1564,6.3513,5.5367,4.7358,3.9674,3.2462,2.5838,1.9884,1.4659,1.0202,0.65375,0.36798,0.1636,0.040905,-2.94E-14,0.040905,0.1636,0.36798,0.65375,1.0202,1.4659,1.9884,2.5838,3.2462,3.9674,4.7358,5.5367,6.3513,7.1564,7.9246,8.6242,9.2194,9.6719,9.9414,9.9884,9.7759,9.2728,8.4569,7.319,5.8663,4.1256,2.146,-4.91E-15,-2.2166,-4.3876,-6.381,-8.0572,-9.279,-9.9241,-9.8989,-9.1523,-7.6879,-5.5735,-2.9442,3.92E-14,3.0056,5.7853,8.0452,9.5179,9.9983,9.3768,7.666,5.0141,1.7024,-1.8775,-5.2653,-7.991,-9.6426,-9.9349,-8.7666,-6.2552,-2.7389,1.258,5.0969,8.1259,9.7937,9.7586,7.9687,4.6957,0.50772,-3.819,-7.4403,-9.6106,-9.8451,-8.0401,-4.5211,-1.08E-13,4.5585,8.1386,9.9042,9.4039,6.7009,2.3866,-2.5339,-6.8683,-9.5263,-9.8021,-7.5761,-3.3744,1.7383,6.4198,9.4006,9.8365,7.5612,3.1627,-2.1525,-6.8807,-9.6456,-9.6079,-6.7345,-1.8391,3.6333,8.0251,9.9705,8.8311
9.9854,8.1264,3.7403,-1.7822,-6.7345,-9.6239,-9.6139,-6.751,-1.9199,3.4444,7.7919,9.9037,9.2242,5.9898,1.1321,-4.004,-8.0396,-9.93,-9.2238,-6.1533,-1.5444,3.4195,7.508,9.7478,9.6442,7.2745,3.2399,-1.5009,-5.8683,-8.9095,-9.9999,-8.9587,-6.0602,-1.9488,2.5152,6.4427,9.0915,9.9998,9.0537,6.4836,2.7976,-1.3294,-5.1855,-8.1448,-9.7644,-9.8408,-8.4217,-5.7769,-2.3383,1.3784,4.855,7.6423,9.4147,9.9997,9.3845,7.7,5.1901,2.1697,-1.0184,-4.0449,-6.627,-8.5521,-9.6895,-9.9926,-9.4918,-8.2809,-6.5001,-4.3173,-1.9101,0.54969,2.9082,5.038,6.8432,8.2605,9.2578,9.831,9.9993,9.7994,9.2806,8.4991,7.5138,6.3825,5.1594,3.8925,2.6232,1.3851,0.20449,-0.89926,-1.9132,-2.8297,-3.6457,-4.3615,-4.9802,-5.5063,-5.9457,-6.3045,-6.5885,-6.8032,-6.9532,-7.0418,-7.0711,-7.0418,-6.9532,-6.8032,-6.5885,-6.3045,-5.9457,-5.5063,-4.9802,-4.3615,-3.6457,-2.8297,-1.9132,-0.89926,0.20449,1.3851,2.6232,3.8925,5.1594,6.3825,7.5138,8.4991,9.2806,9.7994,9.9993,9.831,9.2578,8.2605,6.8432,5.038,2.9082,0.54969,-1.9101,-4.3173,-6.5001,-8.2809,-9.4918,-9.9926,-9.6895,-8.5521,-6.627,-4.0449,-1.0184,2.1697,5.1901,7.7,9.3845,9.9997,9.4147,7.6423,4.855,1.3784,-2.3383,-5.7769,-8.4217,-9.8408,-9.7644,-8.1448,-5.1855,-1.3294,2.7976,6.4836,9.0537,9.9998,9.0915,6.4427,2.5152,-1.9488,-6.0602,-8.9587,-9.9999,-8.9095,-5.8683,-1.5009,3.2399,7.2745,9.6442,9.7478,7.508,3.4195,-1.5444,-6.1533,-9.2238,-9.93,-8.0396,-4.004,1.1321,5.9898,9.2242,9.9037,7.7919,3.4444,-1.9199,-6.751,-9.6139,-9.6239,-6.7345,-1.7822,3.7403,8.1264,9.9854
8.2898,3.9527,-1.6112,-6.6481,-9.6079,-9.6139,-6.7073,-1.8032,3.612,7.9401,9.941,9.0776,5.6426,0.64362,-4.5058,-8.3924,-9.9876,-8.9078,-5.4884,-0.66434,4.299,8.1432,9.933,9.2724,6.3749,1.9809,-2.8444,-6.9771,-9.4957,-9.8777,-8.0933,-4.5831,-0.1354,4.3006,7.8218,9.751,9.7574,7.8976,4.5784,0.45554,-3.7045,-7.1704,-9.3721,-9.9857,-8.9686,-6.5434,-3.1397,0.69059,4.3684,7.3756,9.3245,9.9999,9.3715,7.5795,4.8986,1.6893,-1.6555,-4.7605,-7.3095,-9.0734,-9.9243,-9.8364,-8.8753,-7.1802,-4.9398,-2.3691,0.31417,2.9082,5.2415,7.1824,8.6425,9.5768,9.9795,9.8779,9.3249,8.391,7.1564,5.7045,4.1162,2.4655,0.81677,-0.77683,-2.2742,-3.6457,-4.8726,-5.9457,-6.8636,-7.6311,-8.2582,-8.7577,-9.1447,-9.4355,-9.646,-9.7918,-9.8873,-9.9456,-9.9777,-9.9929,-9.9986,-9.9999,-10,-9.9999,-9.9986,-9.9929,-9.9777,-9.9456,-9.8873,-9.7918,-9.646,-9.4355,-9.1447,-8.7577,-8.2582,-7.6311,-6.8636,-5.9457,-4.8726,-3.6457,-2.2742,-0.77683,0.81677,2.4655,4.1162,5.7045,7.1564,8.391,9.3249,9.8779,9.9795,9.5768,8.6425,7.1824,5.2415,2.9082,0.31417,-2.3691,-4.9398,-7.1802,-8.8753,-9.8364,-9.9243,-9.0734,-7.3095,-4.7605,-1.6555,1.6893,4.8986,7.5795,9.3715,9.9999,9.3245,7.3756,4.3684,0.69059,-3.1397,-6.5434,-8.9686,-9.9857,-9.3721,-7.1704,-3.7045,0.45554,4.5784,7.8976,9.7574,9.751,7.8218,4.3006,-0.1354,-4.5831,-8.0933,-9.8777,-9.4957,-6.9771,-2.8444,1.9809,6.3749,9.2724,9.933,8.1432,4.299,-0.66434,-5.4884,-8.9078,-9.9876,-8.3924,-4.5058,0.64362,5.6426,9.0776,9.941,7.9401,3.612,-1.8032,-6.7073,-9.6139,-9.6079,-6.6481,-1.6112,3.9527,8.2898
4.2673,-1.3252,-6.4726,-9.5578,-9.6456,-6.751,-1.8032,3.6676,8.0125,9.959,8.9731,5.3882,0.27604,-4.8868,-8.6516,-9.9998,-8.6058,-4.8966,0.095011,5.0306,8.6299,9.9981,8.8361,5.4862,0.81686,-4.0158,-7.8598,-9.8393,-9.5434,-7.0948,-3.0915,1.5523,5.8237,8.8336,9.9952,9.1258,6.4571,2.5619,-1.7805,-5.7468,-8.6265,-9.9428,-9.5198,-7.4905,-4.2488,-0.36345,3.5297,6.8337,9.0799,9.9866,9.4831,7.7,4.9312,1.5777,-1.9161,-5.1238,-7.6879,-9.3551,-9.994,-9.5955,-8.2591,-6.1688,-3.5636,-0.70595,2.146,4.7624,6.958,8.6022,9.6215,9.9971,9.7574,8.9686,7.7233,6.1295,4.3007,2.3467,0.36798,-1.5498,-3.3376,-4.9444,-6.3365,-7.4958,-8.4183,-9.1108,-9.589,-9.8745,-9.9929,-9.9717,-9.8387,-9.6209,-9.3435,-9.0297,-8.6997,-8.3713,-8.0593,-7.7763,-7.5321,-7.3346,-7.1895,-7.1009,-7.0711,-7.1009,-7.1895,-7.3346,-7.5321,-7.7763,-8.0593,-8.3713,-8.6997,-9.0297,-9.3435,-9.6209,-9.8387,-9.9717,-9.9929,-9.8745,-9.589,-9.1108,-8.4183,-7.4958,-6.3365,-4.9444,-3.3376,-1.5498,0.36798,2.3467,4.3007,6.1295,7.7233,8.9686,9.7574,9.9971,9.6215,8.6022,6.958,4.7624,2.146,-0.70595,-3.5636,-6.1688,-8.2591,-9.5955,-9.994,-9.3551,-7.6879,-5.1238,-1.9161,1.5777,4.9312,7.7,9.4831,9.9866,9.0799,6.8337,3.5297,-0.36345,-4.2488,-7.4905,-9.5198,-9.9428,-8.6265,-5.7468,-1.7805,2.5619,6.4571,9.1258,9.9952,8.8336,5.8237,1.5523,-3.0915,-7.0948,-9.5434,-9.8393,-7.8598,-4.0158,0.81686,5.4862,8.8361,9.9981,8.6299,5.0306,0.095011,-4.8966,-8.6058,-9.9998,-8.6516,-4.8868,0.27604,5.3882,8.9731,9.959,8.0125,3.6676,-1.8032,-6.751,-9.6456,-9.5578,-6.4726,-1.3252,4.2673
-0.92308,-6.2029,-9.4678,-9.705,-6.8807,-1.9199,3.612,8.0125,9.9643,8.9189,5.233,0.030679,-5.1535,-8.8322,-9.9876,-8.3397,-4.3944,0.72802,5.6234,8.9923,9.9793,8.376,4.6452,-0.22908,-5.0127,-8.5383,-9.9858,-9.0603,-6.0334,-1.6497,3.0695,7.0711,9.5038,9.8903,8.206,4.8551,0.56053,-3.8024,-7.3888,-9.5447,-9.9174,-8.4983,-5.5988,-1.7704,2.3093,5.9617,8.6191,9.9064,9.6834,8.0452,5.2859,1.8376,-1.8045,-5.1564,-7.8086,-9.4714,-9.9988,-9.3899,-7.7727,-5.3741,-2.483,0.58893,3.5426,6.1199,8.1237,9.428,9.9795,9.7914,8.9327,7.5138,5.6712,3.5526,1.3041,-0.94004,-3.0652,-4.9802,-6.6195,-7.9426,-8.9318,-9.589,-9.9318,-9.9894,-9.7991,-9.4021,-8.8411,-8.158,-7.3917,-6.5773,-5.7456,-4.9223,-4.1286,-3.3812,-2.693,-2.0734,-1.529,-1.0643,-0.6821,-0.38397,-0.17071,-0.042683,6.37E-14,-0.042683,-0.17071,-0.38397,-0.6821,-1.0643,-1.529,-2.0734,-2.693,-3.3812,-4.1286,-4.9223,-5.7456,-6.5773,-7.3917,-8.158,-8.8411,-9.4021,-9.7991,-9.9894,-9.9318,-9.589,-8.9318,-7.9426,-6.6195,-4.9802,-3.0652,-0.94004,1.3041,3.5526,5.6712,7.5138,8.9327,9.7914,9.9795,9.428,8.1237,6.1199,3.5426,0.58893,-2.483,-5.3741,-7.7727,-9.3899,-9.9988,-9.4714,-7.8086,-5.1564,-1.8045,1.8376,5.2859,8.0452,9.6834,9.9064,8.6191,5.9617,2.3093,-1.7704,-5.5988,-8.4983,-9.9174,-9.5447,-7.3888,-3.8024,0.56053,4.8551,8.206,9.8903,9.5038,7.0711,3.0695,-1.6497,-6.0334,-9.0603,-9.9858,-8.5383,-5.0127,-0.22908,4.6452,8.376,9.9793,8.9923,5.6234,0.72802,-4.3944,-8.3397,-9.9876,-8.8322,-5.1535,0.030679,5.233,8.9189,9.9643,8.0125,3.612,-1.9199,-6.8807,-9.705,-9.4678,-6.2029,-0.92308
-5.8317,-9.3283,-9.7839,-7.0919,-2.1525,3.4444,7.9401,9.959,8.9189,5.1809,-0.092042,-5.3113,-8.9458,-9.9672,-8.1262,-3.9937,1.2327,6.0883,9.2541,9.9086,7.9264,3.8795,-1.1436,-5.8415,-9.0408,-9.9821,-8.4861,-4.9676,-0.30458,4.3926,8.0506,9.8749,9.511,7.0956,3.1976,-1.3294,-5.5429,-8.6085,-9.9602,-9.3918,-7.0711,-3.4815,0.69059,4.6943,7.8514,9.6667,9.8956,8.5634,5.9371,2.4627,-1.3188,-4.8604,-7.6879,-9.4591,-9.9964,-9.2933,-7.4968,-4.8718,-1.756,1.4881,4.5174,7.043,8.8545,9.831,9.9414,9.2349,7.825,5.87,3.5526,1.0608,-1.4282,-3.7603,-5.8123,-7.4958,-8.7577,-9.5771,-9.9616,-9.941,-9.5616,-8.8801,-7.9584,-6.859,-5.6412,-4.3591,-3.0594,-1.781,-0.5544,0.59748,1.6589,2.6204,3.4774,4.2295,4.8796,5.4321,5.8932,6.2692,6.5666,6.7913,6.948,7.0405,7.0711,7.0405,6.948,6.7913,6.5666,6.2692,5.8932,5.4321,4.8796,4.2295,3.4774,2.6204,1.6589,0.59748,-0.5544,-1.781,-3.0594,-4.3591,-5.6412,-6.859,-7.9584,-8.8801,-9.5616,-9.941,-9.9616,-9.5771,-8.7577,-7.4958,-5.8123,-3.7603,-1.4282,1.0608,3.5526,5.87,7.825,9.2349,9.9414,9.831,8.8545,7.043,4.5174,1.4881,-1.756,-4.8718,-7.4968,-9.2933,-9.9964,-9.4591,-7.6879,-4.8604,-1.3188,2.4627,5.9371,8.5634,9.8956,9.6667,7.8514,4.6943,0.69059,-3.4815,-7.0711,-9.3918,-9.9602,-8.6085,-5.5429,-1.3294,3.1976,7.0956,9.511,9.8749,8.0506,4.3926,-0.30458,-4.9676,-8.4861,-9.9821,-9.0408,-5.8415,-1.1436,3.8795,7.9264,9.9086,9.2541,6.0883,1.2327,-3.9937,-8.1262,-9.9672,-8.9458,-5.3113,-0.092042,5.1809,8.9189,9.959,7.9401,3.4444,-2.1525,-7.0919,-9.7839,-9.3283,-5.8317
